player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,assists_total,xa_total,key_passes_total,progressive_passes_total,pass_completion_pct,minutes,xa_per90,key_passes_per90,progressive_passes_per90,playmaker_score,year
Hazem Shehata,Qatar,hazem shehata,1,1.0,0,1,1,2023-07-02,53,1.0,0.018867924528301886,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
İlkay Gündoğan,Germany,ilkay gundogan,1,1.0,0,1,1,2024-06-19,43,1.0,0.023255813953488372,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Ismaël Koné,Canada,ismael kone,1,1.0,0,1,1,2024-07-13,46,1.0,0.021739130434782608,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Iván Anderson,Panama,ivan anderson,1,1.0,0,1,1,2023-07-12,58,1.0,0.017241379310344827,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Christian Pulisic,United States,christian pulisic,1,1.0,0,1,1,2024-06-23,57,1.0,0.017543859649122806,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Steven Vitória,Canada,steven vitoria,1,1.0,1,1,1,2023-07-09,46,1.0,0.021739130434782608,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Stefan de Vrij,Netherlands,stefan de vrij,1,1.0,0,1,1,2024-07-06,43,1.0,0.023255813953488372,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Niko Sigur,Canada,niko sigur,1,1.0,0,1,1,2025-06-17,46,1.0,0.021739130434782608,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Abdoulaye Seck,Senegal,abdoulaye seck,2,1.0,0,0,2,2025-12-30,48,1.0,0.041666666666666664,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Jayden Nelson,Canada,jayden nelson,1,1.0,0,1,1,2023-07-04,46,1.0,0.021739130434782608,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Emre Can,Germany,emre can,1,1.0,0,1,1,2024-06-14,43,1.0,0.023255813953488372,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Facundo Pellistri,Uruguay,facundo pellistri,1,1.0,0,1,1,2024-06-27,42,1.0,0.023809523809523808,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Roberto Alvarado,Mexico,roberto alvarado,1,1.0,0,1,1,2023-07-12,60,1.0,0.016666666666666666,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Gernot Trauner,Austria,gernot trauner,1,1.0,0,1,1,2024-06-21,40,1.0,0.025,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Kwadwo Duah,Switzerland,kwadwo duah,1,1.0,0,1,1,2024-06-15,42,1.0,0.023809523809523808,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Nizar Al-Rashdan,Jordan,nizar alrashdan,1,1.0,0,1,1,2024-01-29,54,1.0,0.018518518518518517,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Cole Palmer,England,cole palmer,1,1.0,0,1,1,2024-07-14,44,1.0,0.022727272727272728,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Richard Ríos,Colombia,richard rios,1,1.0,0,1,1,2024-07-06,45,1.0,0.022222222222222223,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Saad Natiq,Iraq,saad natiq,1,1.0,0,1,1,2024-01-29,51,1.0,0.0196078431372549,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Junior Hoilett,Canada,junior hoilett,1,1.0,1,1,1,2023-07-04,46,1.0,0.021739130434782608,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Odiljon Hamrobekov,Uzbekistan,odiljon hamrobekov,1,1.0,0,1,1,2024-02-03,45,1.0,0.022222222222222223,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Érick Sánchez,Mexico,erick sanchez,1,1.0,0,1,1,2023-07-08,60,1.0,0.016666666666666666,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Max Mata,New Zealand,max mata,2,1.0,0,0,2,2024-06-30,36,1.0,0.05555555555555555,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Bryan Reynolds,United States,bryan reynolds,1,1.0,0,1,1,2023-06-28,57,1.0,0.017543859649122806,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Mohamed Kanno,Saudi Arabia,mohamed kanno,1,1.0,0,1,1,2024-01-21,60,1.0,0.016666666666666666,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Faisal Al-Ghamdi,Saudi Arabia,faisal alghamdi,1,1.0,0,1,1,2024-01-21,60,1.0,0.016666666666666666,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Jeong Woo-yeong,South Korea,jeong wooyeong,1,1.0,0,1,1,2024-01-25,44,1.0,0.022727272727272728,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Bazoumana Touré,Ivory Coast,bazoumana toure,2,1.0,0,0,2,2026-01-06,47,1.0,0.0425531914893617,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Gianluca Busio,United States,gianluca busio,1,1.0,0,1,1,2023-07-02,57,1.0,0.017543859649122806,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Gerardo Arteaga,Mexico,gerardo arteaga,1,1.0,0,1,1,2024-06-22,60,1.0,0.016666666666666666,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Rodri,Spain,rodri,1,1.0,0,1,1,2024-06-30,44,1.0,0.022727272727272728,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Shojae Khalilzadeh,Iran,shojae khalilzadeh,1,1.0,0,1,1,2024-01-14,42,1.0,0.023809523809523808,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Jonathan Osorio,Canada,jonathan osorio,1,1.0,0,1,1,2023-07-04,46,1.0,0.021739130434782608,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Haji Wright,United States,haji wright,1,1.0,0,1,1,2025-06-15,57,1.0,0.017543859649122806,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Maximilian Arfsten,United States,maximilian arfsten,1,1.0,0,1,1,2025-06-29,57,1.0,0.017543859649122806,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Jeremy Sarmiento,Ecuador,jeremy sarmiento,1,1.0,0,1,1,2024-06-22,42,1.0,0.023809523809523808,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Ali Al-Bulaihi,Saudi Arabia,ali albulaihi,1,1.0,0,1,1,2024-01-16,60,1.0,0.016666666666666666,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Cade Cowell,United States,cade cowell,1,1.0,0,1,1,2023-07-02,57,1.0,0.017543859649122806,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Rebin Sulaka,Iraq,rebin sulaka,1,1.0,0,1,1,2024-01-24,51,1.0,0.0196078431372549,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
